request_name,is_variable_data,suppress_sending,request_col_name,reply_col_name,col_order,data_type,output_col_name,db_col_name
TsyBondInfo,1,1,KEY_RATE_DUR_30YR,KEY_RATE_DUR_30YR,27,FLOAT,KEY_RATE_DUR_30YR,key_rate_30yr
TsyBondInfo,1,1,INFLATION_LINKED_INDICATOR,INFLATION_LINKED_INDICATOR,28,FLOAT,INFLATION_LINKED_INDICATOR,inflation_linked
TsyBondInfo,1,1,QUOTE_TYP,QUOTE_TYP,29,TEXT,QUOTE_TYP,
TsyBondInfo,1,1,PX_BID,PX_BID,30,FLOAT,PX_BID,
TsyBondInfo,1,1,PX_DISC_BID,PX_DISC_BID,31,FLOAT,PX_DISC_BID,
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_3M,OAS_KEY_RATE_DUR_3M,32,FLOAT,OAS_KEY_RATE_DUR_3M,oas_key_rate_3mo
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_6M,OAS_KEY_RATE_DUR_6M,33,FLOAT,OAS_KEY_RATE_DUR_6M,oas_key_rate_6mo
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_1YR,OAS_KEY_RATE_DUR_1YR,34,FLOAT,OAS_KEY_RATE_DUR_1YR,oas_key_rate_1yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_2YR,OAS_KEY_RATE_DUR_2YR,35,FLOAT,OAS_KEY_RATE_DUR_2YR,oas_key_rate_2yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_3YR,OAS_KEY_RATE_DUR_3YR,36,FLOAT,OAS_KEY_RATE_DUR_3YR,oas_key_rate_3yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_5YR,OAS_KEY_RATE_DUR_5YR,37,FLOAT,OAS_KEY_RATE_DUR_5YR,oas_key_rate_5yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_7YR,OAS_KEY_RATE_DUR_7YR,38,FLOAT,OAS_KEY_RATE_DUR_7YR,oas_key_rate_7yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_10YR,OAS_KEY_RATE_DUR_10YR,39,FLOAT,OAS_KEY_RATE_DUR_10YR,oas_key_rate_10yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_20YR,OAS_KEY_RATE_DUR_20YR,40,FLOAT,OAS_KEY_RATE_DUR_20YR,oas_key_rate_20yr
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_30YR,OAS_KEY_RATE_DUR_30YR,41,FLOAT,OAS_KEY_RATE_DUR_30YR,oas_key_rate_30yr
TsyBondInfo,1,1,IDX_RATIO,IDX_RATIO,42,FLOAT,IDX_RATIO,index_ratio
TsyBondInfo,1,1,PRINCIPAL_FACTOR,PRINCIPAL_FACTOR,43,FLOAT,PRINCIPAL_FACTOR,factor
TsyBondInfo,1,1,BB_SPREAD_TO_SPLINE_CUBIC,BB_SPREAD_TO_SPLINE_CUBIC,44,FLOAT,BB_SPREAD_TO_SPLINE_CUBIC,spread_to_spline
TsyBondInfo,1,1,PRICING_SOURCE,PRICING_SOURCE,45,TEXT,PRICING_SOURCE,pricing_source
