"request_name","is_variable_data","suppress_sending","request_col_name","reply_col_name","col_order","data_type","output_col_name","db_col_name","ts"
MBSBondInfo,1,1,KEY_RATE_DUR_3YR,KEY_RATE_DUR_3YR,19,FLOAT,KEY_RATE_DUR_3YR,key_rate_3yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_3YR,KEY_RATE_DUR_3YR,16,FLOAT,KEY_RATE_DUR_3YR,key_rate_3yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_4YR,KEY_RATE_DUR_4YR,20,FLOAT,KEY_RATE_DUR_4YR,key_rate_4yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_4YR,KEY_RATE_DUR_4YR,17,FLOAT,KEY_RATE_DUR_4YR,key_rate_4yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_5YR,KEY_RATE_DUR_5YR,21,FLOAT,KEY_RATE_DUR_5YR,key_rate_5yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_5YR,KEY_RATE_DUR_5YR,18,FLOAT,KEY_RATE_DUR_5YR,key_rate_5yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_6MO,KEY_RATE_DUR_6MO,16,FLOAT,KEY_RATE_DUR_6MO,key_rate_6mo,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_6MO,KEY_RATE_DUR_6MO,13,FLOAT,KEY_RATE_DUR_6MO,key_rate_6mo,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_6YR,KEY_RATE_DUR_6YR,22,FLOAT,KEY_RATE_DUR_6YR,key_rate_6yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_6YR,KEY_RATE_DUR_6YR,19,FLOAT,KEY_RATE_DUR_6YR,key_rate_6yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_7YR,KEY_RATE_DUR_7YR,23,FLOAT,KEY_RATE_DUR_7YR,key_rate_7yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_7YR,KEY_RATE_DUR_7YR,20,FLOAT,KEY_RATE_DUR_7YR,key_rate_7yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_8YR,KEY_RATE_DUR_8YR,24,FLOAT,KEY_RATE_DUR_8YR,key_rate_8yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_8YR,KEY_RATE_DUR_8YR,21,FLOAT,KEY_RATE_DUR_8YR,key_rate_8yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_9YR,KEY_RATE_DUR_9YR,25,FLOAT,KEY_RATE_DUR_9YR,key_rate_9yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_9YR,KEY_RATE_DUR_9YR,22,FLOAT,KEY_RATE_DUR_9YR,key_rate_9yr,2025-07-10 12:40:22.850
MBSBondInfo,0,0,MATURITY,MATURITY,4,DATE,MATURITY,maturity_date,2025-07-10 12:40:51.323
TsyBondInfo,0,0,MATURITY,MATURITY,4,DATE,MATURITY,maturity_date,2025-07-10 12:40:22.850
MBSBondInfo,1,1,MTG_FACTOR,MTG_FACTOR,14,FLOAT,MTG_FACTOR,factor,2025-07-10 12:40:51.323
MBSBondInfo,0,0,MTG_GEN_CPR_3M,MTG_GEN_CPR_3M,6,FLOAT,MTG_GEN_CPR_3M,cpr_3mo,2025-07-10 12:40:51.323
MBSBondInfo,1,1,MTG_WAL,MTG_WAL,8,FLOAT,MTG_WAL,wal,2025-07-10 12:40:51.323
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_10YR,OAS_KEY_RATE_DUR_10YR,39,FLOAT,OAS_KEY_RATE_DUR_10YR,oas_key_rate_10yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_1YR,OAS_KEY_RATE_DUR_1YR,34,FLOAT,OAS_KEY_RATE_DUR_1YR,oas_key_rate_1yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_20YR,OAS_KEY_RATE_DUR_20YR,40,FLOAT,OAS_KEY_RATE_DUR_20YR,oas_key_rate_20yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_2YR,OAS_KEY_RATE_DUR_2YR,35,FLOAT,OAS_KEY_RATE_DUR_2YR,oas_key_rate_2yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_30YR,OAS_KEY_RATE_DUR_30YR,41,FLOAT,OAS_KEY_RATE_DUR_30YR,oas_key_rate_30yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_3M,OAS_KEY_RATE_DUR_3M,32,FLOAT,OAS_KEY_RATE_DUR_3M,oas_key_rate_3mo,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_3YR,OAS_KEY_RATE_DUR_3YR,36,FLOAT,OAS_KEY_RATE_DUR_3YR,oas_key_rate_3yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_5YR,OAS_KEY_RATE_DUR_5YR,37,FLOAT,OAS_KEY_RATE_DUR_5YR,oas_key_rate_5yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_6M,OAS_KEY_RATE_DUR_6M,33,FLOAT,OAS_KEY_RATE_DUR_6M,oas_key_rate_6mo,2025-07-10 12:40:22.850
TsyBondInfo,1,1,OAS_KEY_RATE_DUR_7YR,OAS_KEY_RATE_DUR_7YR,38,FLOAT,OAS_KEY_RATE_DUR_7YR,oas_key_rate_7yr,2025-07-10 12:40:22.850
TsyBondInfo,1,1,PRICING_SOURCE,PRICING_SOURCE,45,TEXT,PRICING_SOURCE,pricing_source,2025-07-10 12:40:22.850
TsyBondInfo,1,1,PRINCIPAL_FACTOR,PRINCIPAL_FACTOR,43,FLOAT,PRINCIPAL_FACTOR,factor,2025-07-10 12:40:22.850
MBSBondInfo,1,1,PX_BID,PX_BID,12,FLOAT,PX_BID,"",2025-07-10 12:40:51.323
TsyBondInfo,1,1,PX_BID,PX_BID,30,FLOAT,PX_BID,"",2025-07-10 12:40:22.850
MBSBondInfo,1,1,PX_DISC_BID,PX_DISC_BID,13,FLOAT,PX_DISC_BID,"",2025-07-10 12:40:51.323
TsyBondInfo,1,1,PX_DISC_BID,PX_DISC_BID,31,FLOAT,PX_DISC_BID,"",2025-07-10 12:40:22.850
TsyBondInfo,1,1,QUOTE_TYP,QUOTE_TYP,29,TEXT,QUOTE_TYP,"",2025-07-10 12:40:22.850
MBSBondInfo,0,0,SECURITY_DES,SECURITY_DES,11,TEXT,SECURITY_DES,sec_description,2025-07-10 12:40:51.323
TsyBondInfo,0,0,SECURITY_DES,SECURITY_DES,2,TEXT,SECURITY_DES,sec_description,2025-07-10 12:40:22.836
MBSBondInfo,0,0,SECURITY_TYP,SECURITY_TYP,3,TEXT,SECURITY_TYP,sec_type,2025-07-10 12:40:51.323
TsyBondInfo,0,0,SECURITY_TYP,SECURITY_TYP,3,TEXT,SECURITY_TYP,sec_type,2025-07-10 12:40:22.850
MBSBondInfo,0,0,TICKER,TICKER,5,TEXT,TICKER,ticker,2025-07-10 12:40:51.323
TsyBondInfo,1,1,YLD_CNV_BID,YLD_CNV_BID,11,FLOAT,YLD_CNV_BID,yld_cnv_bin,2025-07-10 12:40:22.850
